Close	Date	Sentiment_fin_V	Sentiment_fin_F2	Open
2878.050049	2018-09-06	-0.05263157895	-0.08771929825	2888.639893
2871.679932	2018-09-07	0.01666666667	-0.05	2868.26001
2877.129883	2018-09-10	-0.1360718029	-0.1341063941	2881.389893
2887.889893	2018-09-11	-0.01587301587	-0.09523809524	2871.570068
2888.919922	2018-09-12	-0.01449275362	-0.1739130435	2888.290039
2904.179932	2018-09-13	-0.04255319149	-0.1170212766	2896.850098
2904.97998	2018-09-14	0.1428571429	-0.04285714286	2906.379883
2888.800049	2018-09-17	-0.1175230567	-0.1618577075	2903.830078
2904.310059	2018-09-18	-0.1587301587	-0.1428571429	2890.73999
2907.949951	2018-09-19	-0.1052631579	-0.1754385965	2906.600098
2930.75	2018-09-20	-0.1666666667	-0.119047619	2919.72998
2929.669922	2018-09-21	-0.1086956522	-0.1304347826	2936.76001
2919.370117	2018-09-24	-0.1254901961	0.009803921569	2921.830078
2915.560059	2018-09-25	0.03448275862	-0.1034482759	2921.75
2905.969971	2018-09-26	-0.05797101449	-0.02898550725	2916.97998
2914	2018-09-27	-0.05769230769	-0.09615384615	2911.649902
2913.97998	2018-09-28	-0.01428571429	-0.1571428571	2910.030029
2924.590088	2018-10-01	0.02463383838	-0.06106060606	2926.290039
2923.429932	2018-10-02	0.1132075472	-0.1132075472	2923.800049
2925.51001	2018-10-03	-0.1090909091	-0.09090909091	2931.689941
2901.610107	2018-10-04	-0.04109589041	-0.2054794521	2919.350098
2885.570068	2018-10-05	-0.1379310345	-0.2068965517	2902.540039
2884.429932	2018-10-08	0.1871604938	-0.1474074074	2877.530029
2880.340088	2018-10-09	0.06896551724	-0.1034482759	2882.51001
2785.679932	2018-10-10	0.09836065574	-0.1147540984	2873.899902
2728.370117	2018-10-11	0.05714285714	-0.2	2776.870117
2767.129883	2018-10-12	-0.06976744186	-0.08139534884	2770.540039
2750.790039	2018-10-15	-0.07407407407	-0.1751809281	2763.830078
2809.919922	2018-10-16	0.05882352941	-0.08823529412	2767.050049
